id,publisher,publisher_id
566050,Activision,-1606173463
375530,Creoteam,-284553629
473470,New Reality Games,-1272302406
611790,"Eek! Games, LLC",-604861140
333640,Freehold Games,1691947269
313010,Focus Home Interactive,-1378653689
268870,5 Lives Studios,1796314711
288160,Fireproof Games,-1007691307
282560,Atari,977065251
282560,RCTO Productions,1060884432
467520,Eversim,1304869972
394870,Black Lime Studio,1984387919
348250,Google,601460045
292140,Square Enix,-1704654576
466300,Beamdog,-998022687
478980,Fantasy Flight Games,-1423957130
233980,@unepic_fran,1132129901
20540,SEGA,1417143641
314970,Noble Master LLC,-662051003
561610,Milestone S.r.l.,649830852
458960,BANDAI NAMCO Entertainment America,2102781013
390100,RedFox Games,1733645913
261470,Slitherine Ltd.,1265343134
280160,Lince Works,-1421046282
7830,1C Entertainment,-205584709
7830,1C-SoftClub,-766361598
215530,NeocoreGames,1019767478
319910,Frozenbyte,502902100
448070,Microblast Games,-145113959
533180,Abstractive Works,-1507971380
113020,Pocketwatch Games,-1899694633
641780,The Drone Racing League,-1791148192
290790,Grey Box,-395696121
442780,Devolver Digital,-1539353560
8850,2K,-12454423
8850,Feral Interactive,-1186516368
24670,N3V Games,1250375779
21100,Warner Bros. Interactive Entertainment,-750143379
575550,Paradise Project,1622086923
599460,INDIECN,-1043392663
391720,Aspyr,802383246
301910,Deep Silver,1887085205
740260,Hollowings,1488067597
382080,Devdan Games,1782211266
240320,OVALIS INVESTMENTS LIMITED,-1810335884
407000,Fixer Games,-293789277
370540,Slitherine Ltd.,1265343134
233800,Bohemia Interactive,1799739398
364420,SmashGames,15525458
359310,Shiro Games,128663918
214340,Daedalic Entertainment,1281122926
448470,Sometimes You,899874185
298900,Focus Home Interactive,-1378653689
455980,Suncrash,-1520771428
232050,Snowbird Games,273614918
13520,Ubisoft,-2080260409
261180,Team Reptile,1310746816
251290,XSEED Games,2003381371
251290,"Marvelous USA, Inc.",1745258701
15120,Ubisoft,-2080260409
420530,Degica,1728867434
203630,Paradox Interactive,-1113012495
295550,1C Online Games,2033374355
268750,SmashGames,15525458
487270,AndrÃƒÂ© Bertaglia,-783890842
213850,Wizards of the Coast LLC,932002048
335670,"Dingaling Productions, LLC",784900555
9010,Bethesda-Softworks,-2002108121
576130,Lapovich Team,39535685
265210,RuneStorm,-354238743
263060,IndieGala,-1284470724
307670,Good Shepherd Entertainment,-1045055351
3170,1C Entertainment,-205584709
360830,Team17 Digital Ltd,1604141760
13230,"Epic Games, Inc.",-1376705759
424280,SnoutUp,-1943780499
263540,Mad Otter Games,406393462
304530,Deep Silver,1887085205
252870,Leafy Games,-1299677115
305260,505 Games,-1958266213
660160,Slitherine Ltd.,1265343134
310470,Kalypso Media Digital,-1048555646
292180,Aerosoft GmbH,1342106944
249650,Daedalic Entertainment,1281122926
289930,astragon Entertainment,1384550548
337150,Handelabra Games Inc.,-584941893
667870,No Moon,-51141936
296970,Abbey Games,1279044435
412740,Dylan Fitterer,-261482996
545650,Double Coconut,-313313252
579950,Telltale Games,1903066101
58610,Eugen Systems,1278964135
414740,Starbreeze Publishing AB,1858027147
228760,Ubisoft,-2080260409
538590,White Dog,1972094523
