appid,Year,Month,mean,max
537800,2019,4,77.68807339449542,145.0
537800,2020,4,94.53645833333331,165.0
537800,2018,5,67.1491935483871,134.0
537800,2019,5,152.80318379160636,665.0
537800,2020,5,131.3576537911302,391.0
537800,2018,6,124.79944289693591,608.0
537800,2019,6,81.3744,193.0
537800,2020,6,127.55425219941348,304.0
537800,2018,7,198.6198910081744,478.0
537800,2019,7,89.0659509202454,192.0
537800,2020,7,130.67128987517336,252.0
537800,2018,8,74.289972899729,152.0
537800,2019,8,144.16028368794326,927.0
537800,2020,8,86.55474452554745,126.0
537800,2018,9,61.347765363128495,122.0
537800,2019,9,72.31832298136646,166.0
537800,2018,10,270.7032520325203,1675.0
537800,2019,10,144.73950795947903,356.0
537800,2018,11,199.94500723589,591.0
537800,2019,11,91.62074074074074,196.0
537800,2017,12,302.2361111111111,752.0
537800,2018,12,134.7686062246279,414.0
537800,2019,12,93.59939759036143,174.0
538590,2018,1,49.04231732030039,2750.0
538590,2019,1,0.6535940325497287,11.0
538590,2020,1,0.2255554302469831,3.0
538590,2018,2,55.84090298306906,1114.0
538590,2019,2,1.617409660995902,29.0
538590,2020,2,0.1101756074091893,3.0
538590,2018,3,3.238367529992152,35.0
538590,2019,3,0.6482680295286769,46.0
538590,2020,3,0.2101368019735366,3.0
538590,2018,4,0.8182663258191959,14.0
538590,2019,4,3.502403564310001,60.0
538590,2020,4,0.716365754222481,8.0
538590,2018,5,0.9565900168255748,209.0
538590,2019,5,0.7731622199707306,75.0
538590,2020,5,0.6046433378196501,190.0
538590,2018,6,1.2233684942622,9.0
538590,2019,6,0.8796155198687141,33.0
538590,2020,6,0.1653828197945845,3.0
538590,2018,7,1.5161108607480849,16.0
538590,2019,7,15.636240090600229,804.0
538590,2020,7,0.1873033707865168,3.0
538590,2018,8,1.829758562605278,43.0
538590,2019,8,0.2293608895877794,9.0
538590,2020,8,0.4863213038416764,5.0
538590,2018,9,0.6503366612491294,7.0
538590,2019,9,0.8725421348314607,127.0
538590,2018,10,0.31822272215973,4.0
538590,2019,10,4.083295660036167,213.0
538590,2018,11,0.9680037097148156,22.0
538590,2019,11,0.1522426513643283,4.0
538590,2017,12,18.37734028179888,257.0
538590,2018,12,0.4210231097150549,7.0
538590,2019,12,0.1577226606538895,3.0
538680,2018,1,284.5413223140496,639.0
538680,2019,1,194.4008097165992,433.0
538680,2020,1,175.5668016194332,373.0
538680,2018,2,311.04746317512274,660.0
538680,2019,2,143.57589285714286,267.0
538680,2020,2,148.89769452449568,270.0
538680,2018,3,197.6083445491252,415.0
538680,2019,3,111.32697547683924,201.0
538680,2020,3,149.11827956989248,367.0
538680,2018,4,128.90807799442896,245.0
538680,2019,4,103.79184247538676,185.0
538680,2020,4,227.28650904033375,358.0
538680,2018,5,117.46774193548389,198.0
538680,2019,5,95.36827956989248,160.0
538680,2020,5,325.90174966352623,545.0
538680,2018,6,156.875,422.0
538680,2019,6,106.10028248587572,252.0
538680,2020,6,180.40782122905028,401.0
538680,2018,7,259.2081081081081,520.0
538680,2019,7,172.43800539083557,317.0
538680,2020,7,281.8586810228802,534.0
538680,2018,8,129.6478494623656,253.0
538680,2019,8,94.185733512786,187.0
538680,2020,8,204.03496503496504,332.0
538680,2018,9,95.5424200278164,180.0
538680,2019,9,79.22752808988764,142.0
538680,2018,10,85.13440860215054,157.0
538680,2019,10,76.47972972972973,139.0
538680,2018,11,263.9066852367688,596.0
538680,2019,11,162.87623066104078,331.0
538680,2017,12,275.8101851851852,561.0
538680,2018,12,215.66532258064515,410.0
538680,2019,12,167.73082099596232,346.0
539440,2018,1,4.351902173913044,247.0
539440,2019,1,0.2002706359945872,3.0
539440,2020,1,0.1073369565217391,2.0
539440,2018,2,9.569823434991974,229.0
539440,2019,2,0.390461997019374,47.0
539440,2020,2,3.5681159420289856,105.0
539440,2018,3,6.707940780619111,99.0
539440,2019,3,10.629274965800274,672.0
539440,2020,3,3.951219512195122,200.0
539440,2018,4,1.7590529247910864,102.0
539440,2019,4,4.6059322033898304,240.0
539440,2020,4,0.2447325769854132,27.0
539440,2018,5,3.2271505376344085,150.0
539440,2019,5,3.46374829001368,144.0
539440,2020,5,0.3283378746594005,73.0
539440,2018,6,0.3936022253129346,4.0
539440,2019,6,1.9158345221112696,107.0
539440,2020,6,0.0869565217391304,2.0
539440,2018,7,0.7428958051420839,45.0
539440,2019,7,19.085948158253757,1224.0
539440,2020,7,0.1774193548387097,3.0
539440,2018,8,5.16711590296496,185.0
539440,2019,8,42.36572199730095,2304.0
539440,2020,8,0.2160278745644599,2.0
539440,2018,9,0.1058495821727019,2.0
539440,2019,9,0.1971830985915492,10.0
539440,2018,10,0.1055480378890392,2.0
539440,2019,10,0.3346883468834688,25.0
539440,2018,11,0.7280334728033473,108.0
539440,2019,11,2.476793248945148,96.0
539440,2017,12,19.91898148148148,268.0
539440,2018,12,1.7240915208613727,217.0
539440,2019,12,2.343283582089552,95.0
539450,2018,1,13.37878787878788,389.0
539450,2019,1,4.439946018893387,82.0
539450,2020,1,0.3324324324324324,48.0
539450,2018,2,3.242225859247136,93.0
539450,2019,2,3.408345752608048,170.0
539450,2020,2,0.6729106628242075,86.0
539450,2018,3,2.4339622641509435,13.0
539450,2019,3,0.8169398907103825,132.0
539450,2020,3,0.1706989247311827,10.0
539450,2018,4,0.6415620641562064,3.0
539450,2019,4,0.8887323943661972,97.0
539450,2020,4,1.0362116991643453,147.0
539450,2018,5,3.345430107526881,143.0
539450,2019,5,0.2533692722371967,19.0
539450,2020,5,0.5235531628532974,42.0
539450,2018,6,0.7513888888888889,22.0
539450,2019,6,0.8220338983050848,55.0
539450,2020,6,0.2580645161290322,20.0
539450,2018,7,0.5445945945945946,6.0
539450,2019,7,0.5357624831309041,16.0
539450,2020,7,0.4274193548387097,31.0
539450,2018,8,4.201884253028264,137.0
539450,2019,8,2.394878706199461,786.0
539450,2020,8,0.3368055555555556,3.0
539450,2018,9,2.760778859527121,238.0
539450,2019,9,1.2120786516853932,197.0
539450,2018,10,2.0686406460296096,94.0
539450,2019,10,0.121786197564276,5.0
539450,2018,11,4.751743375174337,440.0
539450,2019,11,0.0675105485232067,2.0
539450,2017,12,15.574074074074074,385.0
539450,2018,12,2.8830645161290325,281.0
539450,2019,12,0.1199460916442048,2.0
541210,2018,1,141.80578512396696,288.0
541210,2019,1,143.59890859481584,366.0
541210,2020,1,131.19263456090653,256.0
541210,2018,2,121.69004893964112,238.0
541210,2019,2,163.17960426179604,487.0
541210,2020,2,116.89922480620154,194.0
541210,2018,3,125.69086021505376,228.0
541210,2019,3,122.13165266106442,243.0
541210,2020,3,126.53737658674189,228.0
541210,2018,4,181.04456824512536,418.0
541210,2019,4,112.54782608695652,194.0
541210,2020,4,140.0686767169179,214.0
541210,2018,5,185.8938172043011,334.0
541210,2019,5,96.7378640776699,192.0
541210,2020,5,133.84722222222223,211.0
541210,2018,6,174.21696801112657,464.0
541210,2019,6,100.15545590433484,357.0
541210,2020,6,125.76495726495726,273.0
541210,2018,7,180.9932341001353,363.0
541210,2019,7,137.90142857142857,266.0
541210,2020,7,159.3382949932341,261.0
541210,2018,8,142.09472259810553,237.0
541210,2019,8,116.34203296703296,215.0
541210,2020,8,157.0140350877193,255.0
541210,2018,9,127.99303621169916,223.0
541210,2019,9,99.06187050359712,193.0
541210,2018,10,109.71177266576454,202.0
541210,2019,10,95.81668946648426,183.0
541210,2018,11,104.59716312056736,201.0
541210,2019,11,122.58238636363636,259.0
541210,2017,12,178.38425925925927,288.0
541210,2018,12,141.87719298245614,319.0
541210,2019,12,147.27285318559558,302.0
542340,2018,1,10.229931972789116,164.0
542340,2019,1,5.08254397834912,259.0
542340,2020,1,3.669376693766938,293.0
542340,2018,2,21.92914653784219,439.0
542340,2019,2,4.661698956780924,75.0
542340,2020,2,2.014450867052023,196.0
542340,2018,3,10.117092866756392,367.0
542340,2019,3,3.585499316005472,138.0
542340,2020,3,1.6102150537634408,177.0
542340,2018,4,7.167130919220056,108.0
542340,2019,4,4.862994350282486,169.0
542340,2020,4,37.75106082036775,3152.0
542340,2018,5,3.4731182795698925,249.0
542340,2019,5,2.5899864682002707,280.0
542340,2020,5,1.1120107962213226,17.0
542340,2018,6,10.82892906815021,174.0
542340,2019,6,2.4185714285714286,33.0
542340,2020,6,1.7703081232492996,79.0
542340,2018,7,2.8606224627875507,12.0
542340,2019,7,8.467391304347826,1064.0
542340,2020,7,0.7240915208613729,16.0
542340,2018,8,5.2664872139973085,274.0
542340,2019,8,45.83400809716599,1370.0
542340,2020,8,1.1631944444444444,6.0
542340,2018,9,2.111576011157601,92.0
542340,2019,9,5.697183098591549,203.0
542340,2018,10,5.360810810810811,696.0
542340,2019,10,0.824966078697422,24.0
542340,2018,11,0.8019525801952581,16.0
542340,2019,11,0.647887323943662,14.0
542340,2017,12,11.21527777777778,68.0
542340,2018,12,6.406460296096904,321.0
542340,2019,12,2.008130081300813,155.0
542550,2018,1,16.096685082872927,330.0
542550,2019,1,0.1028416779431664,2.0
542550,2020,1,0.1614654002713704,3.0
542550,2018,2,5.269168026101142,397.0
542550,2019,2,0.3666169895678092,3.0
542550,2020,2,0.1594202898550724,12.0
542550,2018,3,3.3472409152086136,204.0
542550,2019,3,0.13406292749658,2.0
542550,2020,3,0.1405405405405405,2.0
542550,2018,4,2.1668984700973573,102.0
542550,2019,4,0.0947666195190947,2.0
542550,2020,4,0.1017770597738287,2.0
542550,2018,5,0.6559139784946236,28.0
542550,2019,5,0.2095890410958904,3.0
542550,2020,5,0.044776119402985,1.0
542550,2018,6,0.4902777777777777,8.0
542550,2019,6,0.1009957325746799,2.0
542550,2020,6,0.1544943820224719,2.0
542550,2018,7,0.6874154262516915,15.0
542550,2019,7,3.491156462585034,710.0
542550,2020,7,0.6110363391655451,21.0
542550,2018,8,0.2113055181695827,6.0
542550,2019,8,0.1945945945945946,5.0
542550,2020,8,1.1153846153846154,27.0
542550,2018,9,1.599721059972106,70.0
542550,2019,9,0.3009845288326301,4.0
542550,2018,10,0.2503382949932341,3.0
542550,2019,10,0.1978319783197832,3.0
542550,2018,11,0.2845188284518828,4.0
542550,2019,11,0.1295774647887324,2.0
542550,2017,12,10.712962962962964,209.0
542550,2018,12,0.4535666218034993,40.0
542550,2019,12,0.0826558265582655,2.0
542650,2018,1,31.538567177843905,620.0
542650,2019,1,0.0730578139114724,3.0
542650,2020,1,0.0087887323943661,1.0
542650,2018,2,5.279206859592712,298.0
542650,2019,2,0.6740345212964113,30.0
542650,2020,2,0.0127189824814014,1.0
542650,2018,3,3.642304674363861,96.0
542650,2019,3,0.0665759328569808,8.0
542650,2020,3,0.0156968269985424,2.0
